observation,data_marking,statistical_unit_eng,statistical_unit_cym,measure_type_eng,measure_type_cym,observation_type,empty,obs_type_value,unit_multiplier,unit_of_measure_eng,unit_of_measure_cym,confidentuality,empty1,geographic_area,empty2,empty3,time_dim_item_id,time_dim_item_label_eng,time_dim_item_label_cym,time_type,empty4,statistical_population_id,statistical_population_label_eng,statistical_population_label_cym,cdid,cdiddescrip,empty5,empty6,empty7,empty8,empty9,empty10,empty11,empty12,dim_id_1,dimension_label_eng_1,dimension_label_cym_1,dim_item_id_1,dimension_item_label_eng_1,dimension_item_label_cym_1,is_total_1,is_sub_total_1,dim_id_2,dimension_label_eng_2,dimension_label_cym_2,dim_item_id_2,dimension_item_label_eng_2,dimension_item_label_cym_2,is_total_2,is_sub_total_2,dim_id_3,dimension_label_eng_3,dimension_label_cym_3,dim_item_id_3,dimension_item_label_eng_3,dimension_item_label_cym_3,is_total_3,is_sub_total_3,dim_id_4,dimension_label_eng_4,dimension_label_cym_4,dim_item_id_4,dimension_item_label_eng_4,dimension_item_label_cym_4,is_total_4,is_sub_total_4
6018.25568896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,All Visits,All Visits,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Jun,Jun,,,
4281.18456191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,Holiday,Holiday,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Jun,Jun,,,
637.358541675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,Business,Business,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Jun,Jun,,,
937.460137421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,Visiting friends or relatives,Visiting friends or relatives,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Jun,Jun,,,
162.252447954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,Miscellaneous,Miscellaneous,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Jun,Jun,,,
5662.35037389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,All Visits,All Visits,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Jul,Jul,,,
4097.84117137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,Holiday,Holiday,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Jul,Jul,,,
526.979313942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,Business,Business,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Jul,Jul,,,
883.705904841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,Visiting friends or relatives,Visiting friends or relatives,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Jul,Jul,,,
153.823983743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,Miscellaneous,Miscellaneous,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Jul,Jul,,,
7157.67258754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,All Visits,All Visits,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Aug,Aug,,,
5261.3117866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,Holiday,Holiday,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Aug,Aug,,,
383.463343143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,Business,Business,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Aug,Aug,,,
1396.49123256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,Visiting friends or relatives,Visiting friends or relatives,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Aug,Aug,,,
116.406225232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,Miscellaneous,Miscellaneous,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Aug,Aug,,,
6398.81411356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,All Visits,All Visits,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Sep,Sep,,,
4344.32140114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,Holiday,Holiday,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Sep,Sep,,,
688.555052527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,Business,Business,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Sep,Sep,,,
1239.63942186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,Visiting friends or relatives,Visiting friends or relatives,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Sep,Sep,,,
126.298238036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,Miscellaneous,Miscellaneous,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Sep,Sep,,,
5095.34861129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,All Visits,All Visits,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Oct,Oct,,,
3273.56585232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,Holiday,Holiday,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Oct,Oct,,,
717.711786305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,Business,Business,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Oct,Oct,,,
959.868188801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,Visiting friends or relatives,Visiting friends or relatives,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Oct,Oct,,,
144.202783868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,Miscellaneous,Miscellaneous,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Oct,Oct,,,
3368.26455758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,All Visits,All Visits,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Nov,Nov,,,
1735.21161557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,Holiday,Holiday,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Nov,Nov,,,
640.768950907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,Business,Business,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Nov,Nov,,,
826.549407036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,Visiting friends or relatives,Visiting friends or relatives,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Nov,Nov,,,
165.734584072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,Miscellaneous,Miscellaneous,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Nov,Nov,,,
3075.05974012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,All Visits,All Visits,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Dec,Dec,,,
1544.51278854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,Holiday,Holiday,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Dec,Dec,,,
484.067439601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of UK resident's visits abroad by month,Purpose of UK resident's visits abroad by month,,,,Purpose,Purpose,,Business,Business,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Dec,Dec,,,
